date,open,high,low,close,volume
2017-09-13,3374.719,3387.140,3366.541,3384.147,19455071500
2017-09-14,3383.470,3391.644,3361.334,3371.426,22130648700
2017-09-15,3365.145,3365.528,3345.328,3353.619,21976581600
2017-09-18,3352.513,3371.749,3352.513,3362.859,19031967600
2017-09-19,3365.532,3370.401,3344.705,3356.845,19112969100
2017-09-20,3352.185,3370.098,3346.536,3365.996,19219666100
2017-09-21,3364.698,3377.884,3356.875,3357.812,19744869500
2017-09-22,3347.157,3356.451,3334.985,3352.529,17923400700
2017-09-25,3344.589,3350.961,3334.944,3341.549,16962129300
2017-09-26,3336.350,3347.163,3332.599,3343.583,13262859500
2017-09-27,3340.822,3349.695,3340.299,3345.272,14308694500
2017-09-28,3343.845,3344.601,3336.178,3339.642,14944430000
2017-09-29,3340.311,3357.015,3340.311,3348.943,14486244300
2017-10-09,3403.246,3410.170,3366.965,3374.378,19173605700
2017-10-10,3373.345,3384.026,3358.795,3382.988,17942384100
2017-10-11,3381.488,3395.779,3379.163,3388.284,18147670400
2017-10-12,3385.533,3390.204,3372.533,3386.100,16180938000
2017-10-13,3384.488,3395.748,3383.239,3390.523,13995476400
2017-10-16,3393.206,3400.511,3374.769,3378.470,17433062000
2017-10-17,3373.234,3382.407,3365.565,3372.041,12538172500
2017-10-18,3373.528,3383.232,3371.925,3381.794,15722879100
2017-10-19,3374.644,3378.736,3359.628,3370.172,15847649500
2017-10-20,3363.514,3379.765,3360.100,3378.648,12717285100
2017-10-23,3382.280,3385.285,3374.705,3380.699,13084628900
2017-10-24,3376.599,3388.689,3374.125,3388.248,13989751100
2017-10-25,3384.858,3398.304,3382.034,3396.898,12313122200
2017-10-26,3397.519,3414.242,3391.455,3407.567,18376862500
2017-10-27,3404.498,3421.103,3402.114,3416.812,17025717300
2017-10-30,3413.868,3419.732,3357.276,3390.337,20834928600
2017-10-31,3380.999,3397.099,3376.124,3393.342,15349820600
2017-11-01,3393.968,3410.352,3388.598,3395.913,18056612700
2017-11-02,3391.652,3391.652,3372.213,3383.310,16686426700
2017-11-03,3377.736,3380.570,3347.360,3371.744,17271479000
2017-11-06,3369.685,3389.383,3356.534,3388.174,15463646800
2017-11-07,3389.472,3415.148,3387.946,3413.575,19057174600
2017-11-08,3409.147,3434.492,3404.881,3415.460,18543647000
2017-11-09,3410.672,3428.770,3408.619,3427.795,15865042600
2017-11-10,3423.185,3438.792,3414.329,3432.673,18927650300
2017-11-13,3435.184,3449.164,3435.085,3447.836,20538905400
2017-11-14,3446.545,3450.495,3419.692,3429.548,19647267400
2017-11-15,3416.211,3423.750,3396.381,3402.525,16879207600
2017-11-16,3393.194,3409.653,3390.589,3399.250,15668433200
2017-11-17,3392.683,3403.286,3373.296,3382.908,24945815300
2017-11-20,3361.356,3393.106,3337.116,3392.399,17652468300
2017-11-21,3382.360,3419.802,3377.599,3410.498,19687180300
2017-11-22,3417.331,3442.178,3404.287,3430.464,21356709300
2017-11-23,3425.009,3429.424,3342.332,3351.918,21526539300
2017-11-24,3340.384,3360.746,3328.334,3353.821,15956966300
2017-11-27,3346.657,3347.051,3315.264,3322.230,16643917000
2017-11-28,3311.232,3333.800,3300.781,3333.657,13824779900
2017-11-29,3335.567,3343.062,3305.572,3337.862,18380593200
2017-11-30,3328.643,3340.920,3306.283,3317.188,15659585100
2017-12-01,3315.105,3324.516,3302.440,3317.617,13919830000
2017-12-04,3310.381,3323.996,3304.103,3309.618,14805328800
2017-12-05,3301.691,3315.737,3300.512,3303.675,20827886200
2017-12-06,3291.313,3296.201,3254.611,3293.965,15160445200
2017-12-07,3283.279,3291.282,3259.164,3272.054,13210590000
2017-12-08,3264.478,3297.130,3258.759,3289.992,13320931400
2017-12-11,3290.488,3322.674,3288.295,3322.196,13196598400
2017-12-12,3320.310,3320.310,3280.329,3280.814,12460482700
2017-12-13,3278.397,3304.010,3273.325,3303.037,11199864700
2017-12-14,3302.932,3309.530,3282.573,3292.439,12054423500
2017-12-15,3287.529,3287.529,3259.388,3266.137,13094061800
2017-12-18,3268.034,3280.544,3254.178,3267.922,12070038900
2017-12-19,3266.019,3296.940,3266.019,3296.538,11514013400
2017-12-20,3296.740,3300.212,3276.120,3287.606,13774511800
2017-12-21,3281.118,3309.223,3267.404,3300.059,14212792700
2017-12-22,3297.685,3307.328,3293.442,3297.063,12404732600
2017-12-25,3296.211,3312.300,3270.441,3280.461,14689363500
2017-12-26,3277.837,3307.299,3274.327,3306.125,14243450100
2017-12-27,3302.461,3307.080,3270.349,3275.783,16267489000
2017-12-28,3272.291,3304.096,3263.728,3296.385,17537167000
2017-12-29,3295.246,3308.225,3292.770,3307.172,14158683600
2018-01-02,3314.031,3349.053,3314.031,3348.326,20227886000
2018-01-03,3347.743,3379.915,3345.289,3369.108,21383614900
2018-01-04,3371.000,3392.826,3365.295,3385.710,20695528800
2018-01-05,3386.464,3402.069,3380.245,3391.750,21306068100
2018-01-08,3391.553,3412.731,3384.559,3409.480,23616510600
2018-01-09,3406.112,3417.228,3403.587,3413.900,19148855100
2018-01-10,3414.113,3430.214,3398.842,3421.834,20909499700
2018-01-11,3415.585,3426.483,3405.639,3425.345,17381213300
2018-01-12,3423.879,3435.424,3417.980,3428.941,17406340400
2018-01-15,3428.951,3442.501,3402.312,3410.488,23200928300
2018-01-16,3403.469,3437.583,3401.961,3436.594,21147546800
2018-01-17,3438.576,3465.205,3430.511,3444.671,26104503000
